team name,average polarity score,number of tweets,from,to,hash tag
Atlanta United FC,0.18140316326530614,980,Mon Jul 23 02:53:51 +0000 2018,Sat Jul 28 14:35:55 +0000 2018,"['#ATLUTD', '#UniteAndConquer']"
Seattle Sounders,0.24122319999999997,500,Mon Jul 23 19:37:37 +0000 2018,Sat Jul 28 14:07:59 +0000 2018,['#Sounders']
Toronto FC,0.1507598,500,Wed Jul 25 20:04:08 +0000 2018,Sat Jul 28 14:28:55 +0000 2018,['#TFC']
Orlando City,0.041217797783933516,1444,Wed Jul 25 01:09:37 +0000 2018,Sat Jul 28 14:44:33 +0000 2018,"['#OCSC', '#FaceOfCity', '#NeverHuntAlone', '#VamosOrlando']"
New York City FC,0.027966999999999992,1000,Fri Jul 27 02:18:58 +0000 2018,Sat Jul 28 14:45:51 +0000 2018,"['#NYCFC', '#ForTheCity']"
Los Angeles Galaxy,0.0868652,500,Fri Jul 27 14:32:06 +0000 2018,Sat Jul 28 14:44:46 +0000 2018,['#LAGalaxy']
Vancouver Whitecaps,0.2660704,500,Fri Jul 27 00:17:58 +0000 2018,Sat Jul 28 14:41:27 +0000 2018,['#VWFC']
New York Red Bulls,0.23986546184738958,996,Thu Jul 26 20:42:26 +0000 2018,Sat Jul 28 14:38:06 +0000 2018,"['#RBNY', '#REDTogether']"
Portland Timbers,0.115657881773399,812,Fri Jul 27 16:51:26 +0000 2018,Sat Jul 28 14:42:23 +0000 2018,"['#PTFC', 'RCTID']"
Minnesota United FC,0.19105200000000003,500,Mon Jul 23 23:07:57 +0000 2018,Sat Jul 28 14:41:36 +0000 2018,['#MNUFC']
Impact de Montréal,0.055774000000000004,500,Fri Jul 27 20:06:50 +0000 2018,Sat Jul 28 14:51:08 +0000 2018,['#IMFC']
San Jose Earthquakes,0.17992665474060823,559,Wed Jul 18 12:59:32 +0000 2018,Sat Jul 28 02:48:59 +0000 2018,"['#Quakes74', '#ForwardAsOne']"
Sporting Kansas City,0.12766129032258067,713,Wed Jul 18 14:04:57 +0000 2018,Sat Jul 28 14:41:19 +0000 2018,"['#SportingKC', '#ForGloryForCity']"
New England Revolution,0.1741188,500,Tue Jul 24 15:38:20 +0000 2018,Sat Jul 28 14:16:11 +0000 2018,['#NERevs']
Real Salt Lake,0.06205189573459713,422,Sun Jul 22 14:41:06 +0000 2018,Sat Jul 28 14:39:34 +0000 2018,['#RSL']
D.C. United,0.33390919999999996,500,Fri Jul 27 15:50:08 +0000 2018,Sat Jul 28 14:52:43 +0000 2018,['#DCU']
Houston Dynamo,0.13719839142091153,746,Mon Jul 23 20:09:43 +0000 2018,Sat Jul 28 14:40:35 +0000 2018,"['#HoustonDynamo', '#foreverorange']"
Chicago Fire,0.14151439999999996,500,Thu Jul 26 21:30:53 +0000 2018,Sat Jul 28 14:26:00 +0000 2018,['#cf97']
Philadelphia Union,0.16979832402234635,895,Wed Jul 18 12:33:57 +0000 2018,Sat Jul 28 00:31:10 +0000 2018,"['#DOOP', '#PhiladelphiaUnion', '#joinordie']"
Columbus Crew,0.2467669001751313,1713,Wed Jul 18 18:03:15 +0000 2018,Sat Jul 28 12:37:25 +0000 2018,"['#SaveTheCrew', '#CrewSC', '#Crew96', '#ForColumbus']"
Colorado Rapids,0.1860016,500,Wed Jul 25 00:50:04 +0000 2018,Sat Jul 28 14:50:17 +0000 2018,['#Rapids96']
FC Dallas,0.16418232258064516,775,Wed Jul 18 11:26:14 +0000 2018,Fri Jul 27 19:07:51 +0000 2018,"['#FCDallas', '#ChallengeAll']"
